Circuit-level and block-local FT checks for css_diagonal_transversal_hier4_nlteq7.txt
Filter: entries with d > 1, k > 0, Physical gate, and Logical action.

Total entries with physical/logical action: 847
Checked entries: 31
Skipped entries (d <= 1 or k = 0): 816
Errors: 0
Strong FT: 0
Strong failures: 31
Weak distance preserving: 31
Weak failures: 0

n k d id | physical | logical | circuit_distance | weak_DP | weak_failures/tested | strongFT | strong_failures
5 1 2 9 | U1U3CT†0-2 | U0 | 2 | True | 0/15 | False | 1
6 1 2 17 | U1U5CT†0-2 | U0 | 2 | True | 0/18 | False | 1
6 1 2 50 | U1U4CT†0-3 | U0 | 2 | True | 0/18 | False | 1
6 1 2 56 | U2U3CT†0-1 | U0 | 2 | True | 0/18 | False | 1
6 1 2 62 | U4U5CT†2-3 | U0 | 2 | True | 0/18 | False | 1
6 1 2 81 | U1U3CT†0-2 | U0 | 2 | True | 0/17 | False | 1
6 2 2 52 | U4U5CT32-3CZ0-1 | U0Z1CZ0-1 | 2 | True | 0/18 | False | 4
6 2 2 82 | U1U4CT†0-2 | U0 | 2 | True | 0/18 | False | 1
7 1 2 5 | U1U3CT†0-2 | U0 | 2 | True | 0/19 | False | 1
7 1 2 28 | U2U6CT†0-1 | U0 | 2 | True | 0/21 | False | 1
7 1 2 107 | U5U6CT†2-3 | U0 | 2 | True | 0/21 | False | 1
7 1 2 109 | U1U6CT†0-2 | U0 | 2 | True | 0/21 | False | 1
7 1 2 118 | U1U3CT†0-2 | U0 | 2 | True | 0/21 | False | 1
7 1 2 120 | U1U4CT†0-3 | U0 | 2 | True | 0/21 | False | 1
7 1 2 123 | U1U3CT†0-2 | U0 | 2 | True | 0/21 | False | 1
7 1 2 150 | U2U4U6CT†0-3CT†1-5 | U0 | 2 | True | 0/21 | False | 1
7 1 2 152 | U1U6CT†0-2 | U0 | 2 | True | 0/21 | False | 1
7 1 2 157 | U5U6CT†0-1 | U0 | 2 | True | 0/21 | False | 1
7 1 2 174 | U1U4CT†0-3 | U0 | 2 | True | 0/21 | False | 1
7 1 2 183 | U1U5CT†0-4 | U0 | 2 | True | 0/21 | False | 1
7 1 2 311 | U1U4CT†0-3 | U0 | 2 | True | 0/20 | False | 1
7 1 2 315 | U1U4CT†0-3 | U0 | 2 | True | 0/20 | False | 1
7 1 2 320 | U4U5CT†2-3 | U0 | 2 | True | 0/20 | False | 1
7 2 2 182 | U1U3CT†0-2 | U0 | 2 | True | 0/21 | False | 1
7 2 2 188 | U1U3CT†0-2 | U0 | 2 | True | 0/21 | False | 1
7 2 2 275 | U4U6CT†1-3 | U0U1CT†0-1 | 2 | True | 0/21 | False | 1
7 2 2 276 | U5U6CT†2-3 | U0U1CT†0-1 | 2 | True | 0/21 | False | 1
7 2 2 594 | U1U6CT†0-2 | U0 | 2 | True | 0/21 | False | 1
7 2 2 747 | U1U5CT†0-2 | U0 | 2 | True | 0/20 | False | 1
7 2 2 755 | U1U4CT†0-2 | U0 | 2 | True | 0/20 | False | 1
7 3 2 31 | U5U6CT†3-4 | U0U1U2CT†0-1CT†0-2CT†1-2CCS0-1-2 | 2 | True | 0/21 | False | 1
