Diagonal transversal gates at hierarchy level t=4 for all d=3 stabilizer codes
Total codes: 8583  |  k=0 skipped: 86  |  tested: 8497  |  hits: 0  |  errors: 0
Script: run_alg6_stabilizer.py  (CSS and non-CSS stabilizer codes)

No t=4 diagonal transversal gate found for any d=3 code.

SUMMARY
  Code          Total    CSS   non-CSS  t=4 hits
  [[5,0,3]]       1      0         1         0
  [[5,1,3]]       1      0         1         0
  [[6,0,3]]       1      1         0         0
  [[6,1,3]]       2      0         2         0
  [[7,0,3]]       4      1         3         0
  [[7,1,3]]      19      1        18         0
  [[8,0,3]]      11      2         9         0
  [[8,1,3]]     178      2       176         0
  [[8,2,3]]      20      0        20         0
  [[8,3,3]]       1      0         1         0
  [[9,0,3]]      69      4        65         0
  [[9,1,3]]    3609     22      3587         0
  [[9,2,3]]    4445      0      4445         0
  [[9,3,3]]     222      0       222         0
