
G = Sp(6, 2),  |G| = 1451520
    O(7,2)

Sp(6, 2)-conjugacy classes:  1369
Total subgroups:               11094174

Isomorphism classes  (Sp(6, 2)-conjugacy):

  Isomorphism type                Order   Conj.classes  #Subgroups  Name
  --------------------------------------------------------------------------
  SmallGroup(1, 1)                     1             1           1  1
  SmallGroup(2, 1)                     2             4        5103  C2
  SmallGroup(3, 1)                     3             3        8176  C3
  SmallGroup(4, 1)                     4             5       37800  C4
  SmallGroup(4, 2)                     4            19      133875  C2 x C2
  SmallGroup(5, 1)                     5             1       12096  C5
  SmallGroup(6, 1)                     6             9      173376  S3
  SmallGroup(6, 2)                     6             7      136080  C6
  SmallGroup(7, 1)                     7             1       34560  C7
  SmallGroup(8, 1)                     8             2       45360  C8
  SmallGroup(8, 2)                     8            20      207900  C4 x C2
  SmallGroup(8, 3)                     8            32      468720  D8
  SmallGroup(8, 4)                     8             4       10080  Q8
  SmallGroup(8, 5)                     8            40      291015  C2 x C2 x C2
  SmallGroup(9, 1)                     9             1       26880  C9
  SmallGroup(9, 2)                     9             3       14560  C3 x C3
  SmallGroup(10, 1)                   10             2       48384  D10
  SmallGroup(10, 2)                   10             1       36288  C10
  SmallGroup(12, 1)                   12             2       30240  C3 : C4
  SmallGroup(12, 2)                   12             3       60480  C12
  SmallGroup(12, 3)                   12             7       79380  A4
  SmallGroup(12, 4)                   12            19      534240  D12
  SmallGroup(12, 5)                   12             6      115920  C6 x C2
  SmallGroup(14, 1)                   14             1       34560  D14
  SmallGroup(15, 1)                   15             1       12096  C15
  SmallGroup(16, 2)                   16             3       15120  C4 x C4
  SmallGroup(16, 3)                   16            25      226800  (C4 x C2) : C2
  SmallGroup(16, 4)                   16             3       34020  C4 : C4
  SmallGroup(16, 5)                   16             2       22680  C8 x C2
  SmallGroup(16, 6)                   16             4       45360  C8 : C2
  SmallGroup(16, 7)                   16             4       90720  D16
  SmallGroup(16, 8)                   16             4       90720  QD16
  SmallGroup(16, 10)                  16            16      122850  C4 x C2 x C2
  SmallGroup(16, 11)                  16            79      956340  C2 x D8
  SmallGroup(16, 12)                  16             2        7560  C2 x Q8
  SmallGroup(16, 13)                  16            16      120960  (C4 x C2) : C2
  SmallGroup(16, 14)                  16            24      115353  C2 x C2 x C2 x C2
  SmallGroup(18, 1)                   18             1       26880  D18
  SmallGroup(18, 3)                   18            10      161280  C3 x S3
  SmallGroup(18, 4)                   18             5       53760  (C3 x C3) : C2
  SmallGroup(18, 5)                   18             2       30240  C6 x C3
  SmallGroup(20, 3)                   20             2       48384  C5 : C4
  SmallGroup(20, 4)                   20             1       36288  D20
  SmallGroup(21, 1)                   21             1       34560  C7 : C3
  SmallGroup(24, 1)                   24             1       30240  C3 : C8
  SmallGroup(24, 3)                   24             5       52920  SL(2,3)
  SmallGroup(24, 5)                   24             4       60480  C4 x S3
  SmallGroup(24, 6)                   24             5       90720  D24
  SmallGroup(24, 7)                   24             1       15120  C2 x (C3 : C4)
  SmallGroup(24, 8)                   24             8      120960  (C6 x C2) : C2
  SmallGroup(24, 9)                   24             1       15120  C12 x C2
  SmallGroup(24, 10)                  24             4       60480  C3 x D8
  SmallGroup(24, 11)                  24             1       10080  C3 x Q8
  SmallGroup(24, 12)                  24            21      277200  S4
  SmallGroup(24, 13)                  24            19      253260  C2 x A4
  SmallGroup(24, 14)                  24            12      186480  C2 x C2 x S3
  SmallGroup(24, 15)                  24             2       10080  C6 x C2 x C2
  SmallGroup(27, 3)                   27             1        1120  (C3 x C3) : C3
  SmallGroup(27, 4)                   27             1        8960  C9 : C3
  SmallGroup(27, 5)                   27             1        1120  C3 x C3 x C3
  SmallGroup(30, 1)                   30             1       12096  C5 x S3
  SmallGroup(30, 2)                   30             1       12096  C3 x D10
  SmallGroup(30, 3)                   30             1       12096  D30
  SmallGroup(32, 2)                   32             3       13230  (C4 x C2) : C4
  SmallGroup(32, 5)                   32             2       22680  (C8 x C2) : C2
  SmallGroup(32, 6)                   32            16       90720  (C2 x C2 x C2) : C4
  SmallGroup(32, 7)                   32             6       45360  (C8 : C2) : C2
  SmallGroup(32, 9)                   32             2       22680  (C8 x C2) : C2
  SmallGroup(32, 10)                  32             2       22680  Q8 : C4
  SmallGroup(32, 11)                  32             8       90720  (C4 x C4) : C2
  SmallGroup(32, 21)                  32             2        3780  C4 x C4 x C2
  SmallGroup(32, 22)                  32            19      124740  C2 x ((C4 x C2) : C2)
  SmallGroup(32, 23)                  32             2        8505  C2 x (C4 : C4)
  SmallGroup(32, 25)                  32             4       45360  C4 x D8
  SmallGroup(32, 27)                  32            34      257040  (C2 x C2 x C2 x C2) : C2
  SmallGroup(32, 28)                  32            10      113400  (C4 x C2 x C2) : C2
  SmallGroup(32, 34)                  32             6       30240  (C4 x C4) : C2
  SmallGroup(32, 37)                  32             2       11340  C2 x (C8 : C2)
  SmallGroup(32, 39)                  32             2       22680  C2 x D16
  SmallGroup(32, 40)                  32             2       22680  C2 x QD16
  SmallGroup(32, 43)                  32             8       90720  C8 : (C2 x C2)
  SmallGroup(32, 45)                  32             3        9450  C4 x C2 x C2 x C2
  SmallGroup(32, 46)                  32            32      256095  C2 x C2 x D8
  SmallGroup(32, 47)                  32             1         630  C2 x C2 x Q8
  SmallGroup(32, 48)                  32             6       45360  C2 x ((C4 x C2) : C2)
  SmallGroup(32, 49)                  32            16       80640  (C2 x C2 x C2) : (C2 x C2)
  SmallGroup(32, 51)                  32             6        9513  C2 x C2 x C2 x C2 x C2
  SmallGroup(36, 9)                   36             2       13440  (C3 x C3) : C4
  SmallGroup(36, 10)                  36            11      174720  S3 x S3
  SmallGroup(36, 11)                  36             2       10080  C3 x A4
  SmallGroup(36, 12)                  36             4       80640  C6 x S3
  SmallGroup(36, 13)                  36             2       30240  C2 x ((C3 x C3) : C2)
  SmallGroup(40, 12)                  40             1       36288  C2 x (C5 : C4)
  SmallGroup(42, 1)                   42             1       34560  C7 : C6
  SmallGroup(48, 3)                   48             1        3780  (C4 x C4) : C3
  SmallGroup(48, 17)                  48             1       30240  (C3 x Q8) : C2
  SmallGroup(48, 29)                  48             5      105840  GL(2,3)
  SmallGroup(48, 30)                  48             2        7560  A4 : C4
  SmallGroup(48, 31)                  48             3       15120  C4 x A4
  SmallGroup(48, 32)                  48             1        7560  C2 x SL(2,3)
  SmallGroup(48, 33)                  48             3       30240  ((C4 x C2) : C2) : C3
  SmallGroup(48, 35)                  48             1       15120  C2 x C4 x S3
  SmallGroup(48, 36)                  48             1       15120  C2 x D24
  SmallGroup(48, 38)                  48             8      120960  D8 x S3
  SmallGroup(48, 43)                  48             2       30240  C2 x ((C6 x C2) : C2)
  SmallGroup(48, 45)                  48             1       15120  C6 x D8
  SmallGroup(48, 48)                  48            41      425880  C2 x S4
  SmallGroup(48, 49)                  48            11      107100  C2 x C2 x A4
  SmallGroup(48, 50)                  48             2        5040  (C2 x C2 x C2 x C2) : C3
  SmallGroup(48, 51)                  48             2       10080  C2 x C2 x C2 x S3
  SmallGroup(54, 5)                   54             1       13440  (C3 x C3) : C6
  SmallGroup(54, 6)                   54             1       26880  C9 : C6
  SmallGroup(54, 8)                   54             1        1120  ((C3 x C3) : C3) : C2
  SmallGroup(54, 12)                  54             2       10080  C3 x C3 x S3
  SmallGroup(54, 13)                  54             2       10080  C3 x ((C3 x C3) : C2)
  SmallGroup(54, 14)                  54             1        1120  (C3 x C3 x C3) : C2
  SmallGroup(56, 11)                  56             2       17280  (C2 x C2 x C2) : C7
  SmallGroup(60, 5)                   60             4       22176  A5
  SmallGroup(60, 6)                   60             1       12096  C3 x (C5 : C4)
  SmallGroup(60, 7)                   60             1       12096  C15 : C4
  SmallGroup(60, 8)                   60             1       12096  S3 x D10
  SmallGroup(64, 32)                  64            10       68040  ((C8 : C2) : C2) : C2
  SmallGroup(64, 34)                  64             4       22680  ((C2 x C2 x C2) : C4) : C2
  SmallGroup(64, 58)                  64             1        2835  C4 x ((C4 x C2) : C2)
  SmallGroup(64, 60)                  64             1        2835  (C2 x ((C4 x C2) : C2)) : C2
  SmallGroup(64, 66)                  64             1        5670  ((C4 x C2) : C4) : C2
  SmallGroup(64, 67)                  64             4       17010  (C2 x ((C4 x C2) : C2)) : C2
  SmallGroup(64, 69)                  64             1        5670  ((C4 x C2) : C4) : C2
  SmallGroup(64, 71)                  64             2        5670  (C2 x ((C4 x C2) : C2)) : C2
  SmallGroup(64, 73)                  64             3       17010  (C2 x C2 x D8) : C2
  SmallGroup(64, 75)                  64             2       11340  (C2 x (C4 : C4)) : C2
  SmallGroup(64, 77)                  64             1        1890  (C2 x (C4 : C4)) : C2
  SmallGroup(64, 88)                  64             1        5670  (C2 x (C8 : C2)) : C2
  SmallGroup(64, 90)                  64            10       45360  C2 x ((C2 x C2 x C2) : C4)
  SmallGroup(64, 92)                  64             3       11340  C2 x ((C8 : C2) : C2)
  SmallGroup(64, 98)                  64             2       11340  ((C8 x C2) : C2) : C2
  SmallGroup(64, 101)                 64             4       22680  C2 x ((C4 x C4) : C2)
  SmallGroup(64, 128)                 64             1       11340  (C2 x C2 x D8) : C2
  SmallGroup(64, 129)                 64             1       11340  (C2 x QD16) : C2
  SmallGroup(64, 130)                 64             2       22680  (C2 x QD16) : C2
  SmallGroup(64, 134)                 64            10       90720  ((C4 x C4) : C2) : C2
